ACCOUNT,RN,COMPANY,SITE,COUNTY,REGION,SIC,SIC DESCRIPTION,REPORTING YEAR,CO TPY,NOX TPY,Pb TPY,PM10 TPY,PM2.5 TPY,SO2 TPY,VOC TPY
918058B,RN102194693,TEXAS MATERIALS GROUP INC,BECKMAN ASPHALT PLANT 4 & 5,BEXAR,13,2951,PAVING MIXTURES AND BLOCKS,2020,21.342,4.268,0,7.855,0.476,0.558,18.1045
AA0027U,RN102955150,EAGLE RAILCAR SERVICES-ELKHART TEXAS LP,ELKHART RAILCAR,ANDERSON,5,4789,"TRANSPORTATION SERVICES, NEC",2020,3.84,2.4786,0,0.1665,0.1425,0.0122,90.8683
AA0035V,RN100214501,ENERGY TRANSFER FUEL LP,BETHEL COMP STATION,ANDERSON,5,4922,NATURAL GAS TRANSMISSION,2020,27.3465,35.2391,0,2.3254,2.3254,0.1399,7.0425
AA0045S,RN100212042,MOSBACHER ENERGY COMPANY,RAM FIELD FACILITY,ANDERSON,5,1311,CRUDE PETROLEUM & NATURAL GAS,2020,0.7387,0.368,0,0.0238,0.0238,27.9982,2.1299
AA0064O,RN100542919,ATMOS ENERGY CORP,BETHEL STORAGE COMPRESSOR STATION,ANDERSON,5,4922,NATURAL GAS TRANSMISSION,2020,8.905,20.0755,0,0.8922,0.8922,0.0756,2.1866
AA0069E,RN103093290,ENTERPRISE  PRODUCTS  OPERATING  LLC,BETHEL COMPRESSOR STATION,ANDERSON,5,4922,NATURAL GAS TRANSMISSION,2020,26.816,93.3117,0,2.1039,2.1039,1.0838,1.1351
AA0096B,RN100222223,LEGACY RESERVES OPERATING LP,BETHEL GAS TREATING FACILITY,ANDERSON,5,1311,CRUDE PETROLEUM & NATURAL GAS,2020,126.809,28.868,0,2.421,1.801,0.659,5.395
AB0011B,RN100219047,DCP OPERATING COMPANY  LP,ANDREWS BOOSTER,ANDREWS,7,1311,CRUDE PETROLEUM & NATURAL GAS,2020,53.2869,322.1627,0,3.0536,3.0536,0.0481,37.3555
AB0012W,RN100218684,DCP OPERATING COMPANY  LP,FULLERTON GAS PLANT,ANDREWS,7,1321,NATURAL GAS LIQUIDS,2020,44.1035,111.6314,0,1.2789,1.2789,0.0409,31.7851
AB0015Q,RN102523578,SCOUT ENERGY MANAGEMENT LLC,DOLLARHIDE GAS PLANT,ANDREWS,7,1321,NATURAL GAS LIQUIDS,2020,22.1607,95.3432,0,3.3358,3.3358,14.9989,28.4643
AB0023R,RN100213594,PALMER OF TEXAS TANKS INC,ANDREWS PLANT,ANDREWS,7,3089,"PLASTICS PRODUCTS, NEC",2020,0,0,0,0.0026,0.0026,0,5.2246
AB0164V,RN101702439,WASTE CONTROL SPECIALISTS INC,ANDREWS WASTE TREATMENT PLANT,ANDREWS,7,4953,REFUSE SYSTEMS,2020,0.149,0.6741,0.0003,2.079,1.1437,0.0452,0.8945
AC0011N,RN101896439,GEORGIA-PACIFIC CHEMICALS LLC,LUFKIN RESIN PLANT,ANGELINA,10,2821,PLASTICS MATERIALS AND SYNTHETIC RESINS,2020,15.1578,2.652,0,3.9226,3.9226,0.027,19.6289
AC0051B,RN100211143,CLEMSA LUMBER COMPANY,POLLOK LUMBER MILL,ANGELINA,10,2421,SAWMILLS & PLANING MILLS GENERAL,2020,42.991,15.7635,0.0036,15.5786,8.6737,1.7911,18.3931
ACA005E,RN104725445,GEORGIA PACIFIC WOOD PRODUCTS LLC,GEORGIA PACIFIC DIBOLL LUMBER OPERATIONS,ANGELINA,10,2436,SOFTWOOD VENEER AND PLYWOOD,2020,681.63,181.574,0.081,75.6835,52.093,5.9831,798.2352
ACA006F,RN110406907,ANGELINA FOREST PRODUCTS LLC,ANGELINA FOREST PRODUCTS SAWMILL,ANGELINA,10,2421,SAWMILLS & PLANING MILLS GENERAL,2020,68.0091,7.3323,0.0093,15.3181,10.464,4.8681,456.0456
AF0010F,RN100226794,NORTHERN NATURAL GAS CO,CLAUDE COMPRESSOR STATION,ARMSTRONG,1,4922,NATURAL GAS TRANSMISSION,2020,27.5031,107.3758,0,2.2293,2.2293,1.157,2.0165
AG0007G,RN100226539,SAN MIGUEL ELECTRIC COOPERATIVE INC,SAN MIGUEL ELECTRIC PLANT,ATASCOSA,13,4911,ELECTRIC SERVICES,2020,3486.85,2357.7,0.4663,89.7404,73.9563,10411.6576,13.6872
AG0024G,RN102643327,ETC TEXAS PIPELINE LTD,FASHING GAS TREATING PLANT,ATASCOSA,13,1321,NATURAL GAS LIQUIDS,2020,21.8349,40.5394,0,2.5831,2.5831,75.7116,14.9065
AGA003C,RN107050122,MARATHON OIL EF LLC,GUAJILLO CENTRAL FACILITY,ATASCOSA,13,1311,CRUDE PETROLEUM & NATURAL GAS,2020,35.6212,59.4699,0,4.9898,4.9898,123.4601,56.5175
AGA013N,RN106259450,MARATHON OIL EF LLC,EAST EXCELSIOR CENTRAL FACILITY,ATASCOSA,13,1311,CRUDE PETROLEUM & NATURAL GAS,2020,11.8716,37.7063,0,2.5156,2.5156,1.6459,42.3029
AGA015P,RN106259005,MARATHON OIL EF LLC,WEST EXCELSIOR CENTRAL FACILITY,ATASCOSA,13,1311,CRUDE PETROLEUM & NATURAL GAS,2020,27.2193,37.2431,0,2.8132,2.8132,2.7079,48.5369
AGA016Q,RN110668753,MARATHON OIL EF LLC,GUAJILLO EOR FACILITY,ATASCOSA,13,1311,CRUDE PETROLEUM & NATURAL GAS,2020,4.1233,5.1349,0,0.3789,0.3789,0.2913,16.9085
AH0039F,RN100220672,ACME BRICK COMPANY,SEALY PLANT,AUSTIN,12,3251,BRICK AND STRUCTURAL CLAY TILE,2020,100.6072,6.5754,0.0065,8.1718,0.0115,3.0421,3.9521
BA0064U,RN100223551,NATURAL GAS PIPELINE CO OF AMERICA LLC,BOOSTER STATION 168,BAILEY,2,4922,NATURAL GAS TRANSMISSION,2020,10.165,45.238,0,3.972,3.972,0.113,6.898
BB0005C,RN101630481,ENTERPRISE  PRODUCTS  OPERATING  LLC,BANDERA COMPRESSOR STATION,BANDERA,13,4922,NATURAL GAS TRANSMISSION,2020,72.4734,733.2666,0,3.4041,3.4041,0.2004,41.0813
BC0015L,RN102038486,LOWER COLORADO RIVER AUTHORITY,SIM GIDEON POWER PLANT,BASTROP,11,4911,ELECTRIC SERVICES,2020,15.247,501.8793,0.0016,25.6869,25.6525,2.0898,12.1135
BC0018F,RN100212034,MERIDIAN BRICK LLC,ELGIN FACILITY,BASTROP,11,3251,BRICK AND STRUCTURAL CLAY TILE,2020,85.2124,25.3447,0.0007,15.9489,9.8213,32.3468,6.0682
BC0059O,RN100225846,ACME BRICK COMPANY,ELGIN PLANT,BASTROP,11,3251,BRICK AND STRUCTURAL CLAY TILE,2020,33.2513,13.4759,0.0122,47.8244,8.9278,41.5371,0.327
BC0082T,RN100723915,GENTEX POWER CORPORATION,LOST PINES 1 POWER PLANT,BASTROP,11,4911,ELECTRIC SERVICES,2020,393.4187,201.8673,0,51.6861,50.9061,6.3758,7.2899
BC0083R,RN101056851,BASTROP ENERGY PARTNERS LP,BASTROP ENERGY CENTER,BASTROP,11,4911,ELECTRIC SERVICES,2020,36.7758,272.6296,0,32.6144,32.6144,5.3086,24.21
BE0013Q,RN100226505,ENSIGN OPERATING LLC,PAWNEE GAS PLANT,BEE,14,1311,CRUDE PETROLEUM & NATURAL GAS,2020,65.5355,54.0943,0,3.1437,3.1437,274.9484,10.7595
BE0022P,RN102735081,KINDER MORGAN TEXAS PIPELINE LLC,KENEDY COMPRESSOR STATION,BEE,14,4922,NATURAL GAS TRANSMISSION,2020,28.5751,105.3451,0,2.1544,2.1544,1.1096,22.2989
BE0026H,RN100225408,TRUNKLINE GAS COMPANY LLC,BEEVILLE COMPRESSOR STATION,BEE,14,4923,GAS TRANSMISSION AND DISTRIBUTION,2020,0.0121,0.1556,0,0.0004,0.0004,0,1.0723
BEA003C,RN106270051,TPL SOUTHTEX PIPELINE COMPANY LLC,SILVER OAK PROCESSING PLANT,BEE,14,1321,NATURAL GAS LIQUIDS,2020,78.2219,111.0651,0,8.195,8.195,0.5672,72.2691
BEA004D,RN106476377,FRIO LASALLE PIPELINE LLC,LONE STAR PROCESSING FACILITY,BEE,14,1321,NATURAL GAS LIQUIDS,2020,80.7971,85.5994,0,6.4913,6.4913,2.2634,67.0514
BEA005E,RN106085418,MARATHON EAGLE FORD MIDSTREAM LLC,SUGARLOAF STATION,BEE,14,1311,CRUDE PETROLEUM & NATURAL GAS,2020,18.9094,32.0294,0,2.5412,2.5412,0.1856,47.64
BF0012H,RN100211242,E R CARPENTER LP,CUSHIONING MANUFACTURING TEMPLE DIVISION,BELL,9,3086,"PLASTICS, FOAM PRODUCTS",2020,3.2092,3.8304,0,0.7024,0.2905,0.0231,108.7664
BF0053Q,RN100228196,PACTIV LLC,TEMPLE PLANT,BELL,9,3086,"PLASTICS, FOAM PRODUCTS",2020,0.676,3.22,0,14.246,0.365,0.025,340.6886
BF0089S,RN100219401,WASTE MANAGEMENT OF TEXAS  INC,TEMPLE RECYCLING & DISPOSAL FACILITY,BELL,9,4953,REFUSE SYSTEMS,2020,109.065,20.47,0,21.081,10.941,3.319,8.467
BF0104B,RN100215524,BELCO MANUFACTURING COMPANY INC,BELCO MANUFACTURING,BELL,9,2221,BROADWOVEN FABRIC MILLS/MAN-MADE FIBER AND SILK,2020,0,0,0,0.936,0.936,0,40.41
BF0107S,RN100215243,AMERICAN ROCKWOOL MANUFACTURING LLC,NOLANVILLE PLANT,BELL,9,3296,MINERAL WOOL,2020,0,0,0,0,0,0,0
BF0110G,RN100215631,WILSONART LLC,TEMPLE NORTH LAMINATE FACILITY,BELL,9,3089,"PLASTICS PRODUCTS, NEC",2020,20.0489,51.2712,0,23.2235,2.7008,0.2449,37.4295
BF0129I,RN101612083,US DEPT OF THE ARMY,FORT HOOD,BELL,9,9711,NATIONAL SECURITY,2020,117.1639,40.362,0.2133,19.5601,13.2107,0.7223,11.3196
BF0139F,RN100223254,VIRON INTERNATIONAL CORPORATION,FIBERGLASS SPRAY FACILITY,BELL,9,5075,WARM AIR HEAT & AIR CONDITIONING,2020,0,0,0,0,0,0,5.45
BFA003C,RN105380216,TEMPLE GENERATION SF LLC,PANDA TEMPLE POWER STATION,BELL,9,4911,ELECTRIC SERVICES,2020,307.9048,156.5819,0,51.6438,51.5644,12.9365,33.9004
BFA004D,RN104385869,JONES-BELL LLC,ECS PLANT,BELL,9,3089,"PLASTICS PRODUCTS, NEC",2020,0,0,0,0,0,0,18.215
